SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,OpeningTimeIndex,Weekday,OpeningTime,ClosingTime,OffsetOpeningTime,OffsetClosingTime,OpeningTimeType,AdditionalOpeningDate,IsOpen,FromAgeDays,ToAgeDays
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,7,Saturday,08:00,21:00,480,1260,General,,true,1826,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,1,Sunday,00:00,23:59,0,1439,General,,true,0,5843
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,2,Wednesday,00:00,23:59,0,1439,General,,true,0,5843
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,3,Saturday,00:00,23:59,0,1439,General,,true,0,5843
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,4,Tuesday,00:00,23:59,0,1439,General,,true,0,5843
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,5,Friday,00:00,23:59,0,1439,General,,true,5844,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,6,Monday,00:00,23:59,0,1439,General,,true,5844,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,7,Thursday,00:00,23:59,0,1439,General,,true,0,5843
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,8,Saturday,00:00,23:59,0,1439,General,,true,5844,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,9,Friday,00:00,23:59,0,1439,General,,true,0,5843
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,10,Thursday,00:00,23:59,0,1439,General,,true,5844,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,11,Wednesday,00:00,23:59,0,1439,General,,true,5844,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,12,Tuesday,00:00,23:59,0,1439,General,,true,5844,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,13,Sunday,00:00,23:59,0,1439,General,,true,5844,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,14,Monday,00:00,23:59,0,1439,General,,true,0,5843
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,1,Sunday,08:00,20:00,480,1200,General,,true,730,47481
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,2,Monday,08:00,20:00,480,1200,General,,true,730,47481
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,3,Tuesday,08:00,20:00,480,1200,General,,true,730,47481
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,4,Wednesday,08:00,20:00,480,1200,General,,true,730,47481
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,5,Thursday,08:00,20:00,480,1200,General,,true,730,47481
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,6,Friday,08:00,20:00,480,1200,General,,true,730,47481
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,7,Saturday,08:00,20:00,480,1200,General,,true,730,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,1,Sunday,08:00,18:30,480,1110,General,,true,1095,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,2,Wednesday,08:00,18:30,480,1110,General,,true,1095,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,3,Saturday,08:00,18:30,480,1110,General,,true,1095,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,4,Tuesday,08:00,18:30,480,1110,General,,true,1095,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,5,Friday,08:00,18:30,480,1110,General,,true,1095,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,6,Monday,08:00,18:30,480,1110,General,,true,1095,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,7,Thursday,08:00,18:30,480,1110,General,,true,1095,47481
