SourceFile,SearchKey,ODSCode,OrganisationName,PeriodIndex,PeriodServiceIndex,ServiceCode,ServiceName
page_000032.json,X113412,FJJ89,Glemsford Pharmacy,2,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000032.json,X11343,FQR18,MILLBROOK PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000032.json,X11343,FQR18,MILLBROOK PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000032.json,X11343,FQR18,MILLBROOK PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000032.json,X11364,FQT10,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000032.json,X11364,FQT10,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000032.json,X11364,FQT10,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11383,FQT86,HAGGERSTON PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X11383,FQT86,HAGGERSTON PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11383,FQT86,HAGGERSTON PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11402,FQW18,Neil Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X11402,FQW18,Neil Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11402,FQW18,Neil Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11419,FQX15,Rowlands Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X11419,FQX15,Rowlands Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11419,FQX15,Rowlands Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11431,FQX60,ORRELL PARK PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X11431,FQX60,ORRELL PARK PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11431,FQX60,ORRELL PARK PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X114317,FDC25,CAMDEN PHARMACY HIGH STREET,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X114317,FDC25,CAMDEN PHARMACY HIGH STREET,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X114317,FDC25,CAMDEN PHARMACY HIGH STREET,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11446,FQY67,PETER BUCKLEY PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000033.json,X11446,FQY67,PETER BUCKLEY PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000033.json,X11446,FQY67,PETER BUCKLEY PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000033.json,X11454,FR011,Charles Harry Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X11454,FR011,Charles Harry Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11454,FR011,Charles Harry Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11462,FR047,TESCO INSTORE PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X11462,FR047,TESCO INSTORE PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11462,FR047,TESCO INSTORE PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11518,FR398,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000033.json,X11518,FR398,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11518,FR398,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11521,FR408,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000033.json,X11521,FR408,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000033.json,X11521,FR408,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000033.json,X11533,FR518,JHL PHARMACIES,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
