SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,AgeRangeIndex,FromAgeDays,ToAgeDays
page_000090.json,X2298,NTPAD,"Practice Plus Group Surgical Centre, St Mary's Portsmouth",1,SRV0541,Urgent Treatment Centre,2,365,47481
page_000090.json,X231,RBD01,Dorset County Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000091.json,X2417,RJ866,Bodmin Hospital - Cornwall Partnership NHS Foundation Trust,1,SRV0178,Urgent care centre,1,730,47481
page_000091.json,X25,REF01,West Cornwall Hospital (Penzance),1,SRV0178,Urgent care centre,1,365,47481
page_000092.json,X2542,RJ867,Stratton Hospital - Cornwall Partnership NHS Foundation Trust,1,SRV0178,Urgent care centre,1,730,47481
page_000093.json,X272,RFRPA,Rotherham Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000093.json,X2860,RWFTW,Tunbridge Wells Hospital at Pembury,1,SRV0001,Accident and emergency services,1,0,47481
page_000093.json,X28687,RNNBE,Penrith Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000093.json,X28689,RNN42,Workington Community Hospital,1,SRV0178,Urgent care centre,1,0,47481
page_000093.json,X29318,RDR2V,Bognor Regis War Memorial Hospital,1,SRV0178,Urgent care centre,1,91,364
page_000093.json,X29318,RDR2V,Bognor Regis War Memorial Hospital,1,SRV0178,Urgent care centre,2,365,47481
page_000093.json,X2955,RTR18,Redcar Primary Care Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000094.json,X29932,RJF05,Sir Robert Peel Hospital,1,SRV0178,Urgent care centre,1,0,47481
page_000094.json,X29932,RJF05,Sir Robert Peel Hospital,1,SRV0178,Urgent care centre,2,1095,47481
page_000094.json,X30003,RY567,Johnson Community Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000094.json,X30004,RY572,County Hospital Louth,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000094.json,X30005,RY539,Skegness and District General Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000094.json,X30006,RY568,John Coupland Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000094.json,X30066,R1D22,Bridgnorth Community Hospital,1,SRV0178,Urgent care centre,1,365,47481
page_000094.json,X30067,R1D21,Ludlow Community Hospital,2,SRV0178,Urgent care centre,1,365,47481
page_000094.json,X30068,R1D34,Whitchurch Community Hospital,2,SRV0178,Urgent care centre,1,365,47481
page_000094.json,X30077,RDYEF,Weymouth Community Hospital,1,SRV0178,Urgent care centre,1,0,47481
page_000094.json,X30100,RDYER,Blandford Community Hospital,1,SRV0178,Urgent care centre,1,365,47481
page_000094.json,X3015,RJ817,Camborne Redruth Community Hospital - Cornwall Partnership NHS Foundation Trust,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000094.json,X3150,NNW12,Navas [The Merlin Vaz Health & Social Care Centre],1,SRV0541,Urgent Treatment Centre,1,0,364
page_000094.json,X3150,NNW12,Navas [The Merlin Vaz Health & Social Care Centre],1,SRV0541,Urgent Treatment Centre,2,365,47481
page_000094.json,X3232,RGN80,Peterborough City Hospital,1,SRV0001,Accident and emergency services,1,0,47481
